sentence,phonemes
To fleece him smartly.,t ə f l iː s ɪ m ˈ s m ɑː t l i .
A group of doctors examined the patient's medical charts.,ə g r uː p ə v ˈ d ɒ k t ə z ɪ g ˈ z æ m ɪ n d ð ə ˈ p eɪ ʃ ə n ts ˈ m ɛ d ɪ k ə l tʃ ɑː ts .
A boy in white asleep at the bottom of the river.,ə b ɔɪ ɪ n w aɪ t ə ˈ s l iː p ə t ð ə ˈ b ɒ t ə m ə v ð ə ˈ r ɪ v ə .
That rollercoaster was insane!,ð æ t ˈ r əʊ l ə ˌ k əʊ s t ə w ə z ɪ n ˈ s eɪ n !
Why do you ask?,w aɪ d ʊ j ʊ ɑː s k ?
"In “Education” there is no U and I... Wait, actually, I guess there is.","ɪ n "" ˌ ɛ dʒ ʊ ˈ k eɪ ʃ ə n "" ð ə z n əʊ j uː ə n d aɪ . . . w eɪ t , ˈ æ k tʃ ʊə l i , aɪ g ɛ s ð ə r ɪ z ."
"I'll stick to bad puns in the future, I think.","aɪ l s t ɪ k t ə b æ d p ʌ n z ɪ n ð ə ˈ f j uː tʃ ə , aɪ θ ɪ ŋ k ."
"""I still have no idea how to turn myself into the wind,"" the boy repeated.",""" aɪ s t ɪ l h ə v n əʊ aɪ ˈ d ɪə h aʊ t ə t ɜː n m aɪ ˈ s ɛ l f ˈ ɪ n t ə ð ə w ɪ n d , "" ð ə b ɔɪ r ɪ ˈ p iː t ɪ d ."
Do I know it?,d ʊ aɪ n əʊ ɪ t ?
I'm going to them.,aɪ m ˈ g əʊ ɪ ŋ t ə ð ɛ m .
Come what come must.,k ʌ m w ɒ t k ʌ m m ʌ s t .
"That night, there was another jetting out of gas from the distant planet.","ð æ t n aɪ t , ð ə w ə z ə ˈ n ʌ ð ə ˈ dʒ ɛ t ɪ ŋ aʊ t ə v g æ s f r ə m ð ə ˈ d ɪ s t ə n t ˈ p l æ n ɪ t ."
The tea was a little bit too hot.,ð ə t iː w ə z ə ˈ l ɪ t ə l b ɪ t t uː h ɒ t .
Thai dancers happily going through their steps in unison.,t aɪ ˈ d ɑː n s ə z ˈ h æ p ə l i ˈ g əʊ ɪ ŋ θ r uː ð eə s t ɛ p s ɪ n ˈ j uː n ɪ s ə n .
"My cat laid there, soaking up the sunlight.","m aɪ k æ t l eɪ d ð eə , ˈ s əʊ k ɪ ŋ ʌ p ð ə ˈ s ʌ n l aɪ t ."
My chinchilla eats bread.,m aɪ tʃ ɪ n ˈ tʃ ɪ l ə iː ts b r ɛ d .
Doctor Clark arrived last week.,ˈ d ɒ k t ə k l ɑː k ə ˈ r aɪ v d l ɑː s t w iː k .
Will no one go?,w ɪ l n əʊ w ʌ n g əʊ ?
What are you laughing at?,w ɒ t ə j ʊ ˈ l ɑː f ɪ ŋ æ t ?
You need more evidence than that.,j ʊ n iː d m ɔː r ˈ ɛ v ɪ d ə n s ð ə n ð æ t .
Well begun is half done To offer too much is to court denial,w ɛ l b ɪ ˈ g ʌ n z h ɑː f d ʌ n t ʊ ˈ ɒ f ə t uː m ʌ tʃ ɪ z t ə k ɔː t d ɪ ˈ n aɪ ə l
Drinking and driving is irresponsible.,ˈ dr ɪ ŋ k ɪ ŋ ə n d ˈ dr aɪ v ɪ ŋ z ˌ ɪ r ɪ ˈ s p ɒ n s ə b ə l .
My mother has Parkinson's.,m aɪ ˈ m ʌ ð ə h ə z ˈ p ɑː k ɪ n s ə n z .
